Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-04-05,4.909999847412109,5.010000228881836,4.650000095367432,4.849999904632568,2033500,68.45877682892689,2391920.0,0.012371122465844042,0.4414546704487812,0.43534672000921143,5.758619071265548,2.8923808800970625,0.2652481818837247
2022-04-06,4.510000228881836,4.849999904632568,4.414999961853027,4.670000076293945,1766500,55.24475920887704,2369640.0,-0.08146631995133347,0.3955439266098786,0.4273861613293449,5.751541180622663,3.0064587879060833,0.22794953391679382
2022-04-07,4.119999885559082,4.46999979019165,4.0,4.46999979019165,1788300,44.884489747293635,2378065.0,-0.08647457284485471,0.32395520901678765,0.4066999708668335,5.704219431559704,3.1347805312469976,0.27387331995873054
2022-04-08,3.9600000381469727,4.190000057220459,3.9600000381469727,4.099999904632568,1343400,42.2712971715284,2372505.0,-0.03883491549912932,0.25141186456748166,0.3756423496069632,5.625062133625787,3.2929378253662174,0.33846208194805766
2022-04-11,4.019999980926514,4.135000228881836,3.8299999237060547,4.0,1955600,40.7766952835862,2316610.0,0.015151500555948827,0.19649713868713548,0.3398133074229977,5.453737609049832,3.575262339451755,0.3853241691013431
2022-04-12,3.9100000858306885,4.139999866485596,3.890000104904175,4.119999885559082,1722000,36.184210681106265,2255925.0,-0.027363158113864694,0.14245857676540652,0.3003423612914795,5.356014542604207,3.7309854221098426,0.434420138064947
2022-04-13,4.070000171661377,4.105000019073486,3.7799999713897705,3.9200000762939453,1073800,34.68013616672026,2143875.0,0.04092073716583977,0.11126075217202303,0.26252603946758823,5.336785612506246,3.769214357929851,0.44302464891414645
2022-04-14,4.070000171661377,4.179999828338623,4.001999855041504,4.070000171661377,1274300,31.690139426193582,2035510.0,0.0,0.0855500833063001,0.2271308482353306,5.345036178203789,3.7469638055837473,0.4282015045208989
2022-04-18,3.9700000286102295,4.040999889373779,3.880000114440918,4.03000020980835,882000,36.73469447334932,1935805.0,-0.024570058681429363,0.05645424776005736,0.19299552814027598,5.361597748446353,3.6844022553683446,0.4458131741910438
2022-04-19,4.039999961853027,4.159999847412109,3.819999933242798,4.0,1767300,22.49999582767387,1918955.0,0.017632224871117375,0.038599052217439755,0.16211623295570876,5.36821837558028,3.6367816434932063,0.40533795206128065
2022-04-20,4.059999942779541,4.179999828338623,3.930000066757202,4.179999828338623,1010900,26.857138186083702,1895360.0,0.0049504903750889895,0.02576550373553932,0.1348460871116749,5.362635199307521,3.5893647987851303,0.38210876798440807
2022-04-21,3.799999952316284,4.179999828338623,3.690000057220459,4.130000114440918,1503000,24.102558647621052,1844845.0,-0.06403940742059633,-0.0053236346702618675,0.10681214275528754,5.354254818728629,3.502745174595651,0.37143023257397506
2022-04-22,3.7300000190734863,3.884999990463257,3.6700000762939453,3.75,1141900,23.979586499374648,1705280.0,-0.018421035295047683,-0.03520459379764773,0.07840879544470049,5.303688015615766,3.4283119777085145,0.3586880566673369
2022-04-25,3.880000114440918,3.9149999618530273,3.6600000858306885,3.6600000858306885,1010800,25.870649008664927,1645700.0,0.04021450257383408,-0.046248590135403944,0.05347731832867961,5.196982527309345,3.412017464107586,0.30091525287732834
2022-04-26,3.7200000286102295,3.864000082015991,3.7100000381469727,3.8399999141693115,973100,21.800950759103316,1570875.0,-0.04123713430708065,-0.0671377839690237,0.029354297869138946,5.1754515210766385,3.3435484846454067,0.1970552832725634
2022-04-27,3.700000047683716,4.099999904632568,3.6700000762939453,3.7200000286102295,2554500,26.589593623172178,1561070.0,-0.005376338917391199,-0.08433429859669239,0.006616578575972681,5.035925716731424,3.339074307110434,0.14455121501349052
2022-04-28,4.630000114440918,4.670000076293945,3.9100000858306885,4.0,6435100,61.23348531205001,1720700.0,0.2513513661545501,-0.022658237226380606,0.0007616154155020236,4.989365990278802,3.3616340564512392,0.2328372769473646
2022-04-29,4.610000133514404,4.860000133514404,4.519999980926514,4.610000133514404,2390600,65.25821738131792,1746200.0,-0.004319650201332403,0.02432623673315959,0.005474539679033537,4.950959309781742,3.3800407560217858,0.28902358718956817
2022-05-02,4.599999904632568,4.650000095367432,4.335000038146973,4.570000171661377,2079300,63.942303173465305,1797055.0,-0.0021692469831258165,0.060062473152674656,0.01639212637376176,4.922545952517769,3.393454103749015,0.3286477542029111
2022-05-03,4.369999885559082,4.635000228881836,4.309999942779541,4.559999942779541,1771500,60.45453841036184,1823870.0,-0.05000000518301273,0.06902889648229937,0.026919480395469285,4.834538142811098,3.433461911548339,0.33579903021986035
2022-05-04,4.019999980926514,4.380000114440918,3.880000114440918,4.380000114440918,2613900,48.95397105539011,1852890.0,-0.08009151345499188,0.04734699762191674,0.03100498384075878,4.688146778970758,3.4908532887401194,0.3362854630271061
2022-05-05,3.9200000762939453,4.0,3.7200000286102295,3.950000047683716,1989600,46.98795019216153,1864045.0,-0.02487559828533148,0.021842987631019106,0.029172584598810846,4.628803009122206,3.4911970433298825,0.3392015501843426
2022-05-06,3.819999933242798,3.9000000953674316,3.609999895095825,3.869999885559082,1449900,46.98795019216153,1847125.0,-0.02551024007777314,-0.006364928903034084,0.022065081898441863,4.6228909346073745,3.467109122613085,0.34509116862936684
2022-05-09,3.4800000190734863,3.799999952316284,3.430000066757202,3.740000009536743,2508400,39.85507434167107,1905375.0,-0.08900521468875666,-0.05551511388307251,0.006549042742138987,4.651251444965501,3.390748610347609,0.37891980871979675
2022-05-10,3.3399999141693115,3.759999990463257,3.299999952316284,3.5399999618530273,2003200,37.500001034802736,1907755.0,-0.040229914981853465,-0.10455854223434091,-0.015672474253156994,4.686988021626526,3.2870120270108645,0.42030079614949345
2022-05-11,3.25,3.440000057220459,3.134999990463257,3.309999942779541,2032300,39.85240043935876,1923270.0,-0.02694608277907551,-0.14897081067993057,-0.04233214153851171,4.727628548107681,3.1803714919466404,0.4613960072398285
2022-05-12,3.490000009536743,3.6089999675750732,3.0,3.1500000953674316,2640700,45.83333367826757,2001615.0,0.07384615678053641,-0.16292377453402906,-0.06645046813761518,4.723406343979443,3.126593679862415,0.4738322963895127
2022-05-13,4.0,4.090000152587891,3.5999999046325684,3.619999885559082,2802700,51.851849944067304,2078035.0,0.14613180202568343,-0.13131514270716282,-0.0794234030515247,4.717840995927466,3.1251590107482543,0.4742078548867517
2022-05-16,3.9800000190734863,4.320000171661377,3.7300000190734863,3.7899999618530273,2508700,54.19354803976483,2159370.0,-0.004999995231628418,-0.10664951633316111,-0.08486862570785199,4.718481758382408,3.125518247339638,0.47063963073628656
2022-05-17,4.0,4.079999923706055,3.8499999046325684,3.869999885559082,2328600,54.838708685042384,2187435.0,0.005025120811725348,-0.08451377620744749,-0.0847976558077711,4.715434364368827,3.1245656451679165,0.4654980956187363
